Data Zone,Local Authority Code,Local Authority Name,Intermediate Geography name,Nearest settlement*,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Overall SIMD 2012 Rank,Income domain 2012 rate (%),Number of Income Deprived People 2012,Income domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,Employment domain 2012 rank,Health domain 2012 score,Health domain 2012 rank,"Education, Skills and Training domain 2012 score","Education, Skills and Training domain 2012 rank","Housing domain score 2004, 2006, 2009 & 2012","Housing domain rank 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,Geographic Access domain 2012 rank,SIMD Crime 2012 score,SIMD Crime 2012 rank
S01000001,100,Aberdeen City,Aberdeen City - Culter,Peterculter,914,612,10.04,4726,8,75,4102,7,45,4518,-0.1,3490,-0.6,4795,13.48,3929,14.95,3420,144,4839
S01000002,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,662,442,3.82,6214,1,5,6489,3,15,6106,-0.93,5554,-0.84,5360,5.09,5880,24.36,2151,,6487
S01000003,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,795,602,3.73,6238,2,15,6284,2,10,6340,-0.78,5267,-0.77,5211,10.38,4784,17.39,3036,128,5066
S01000004,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,621,453,4.4,6068,0,5,6494,2,10,6403,-1.17,5942,-0.79,5255,5.77,5755,32.17,1462,122,5133
S01000005,100,Aberdeen City,Aberdeen City - Culter,Peterculter,605,432,5.22,5883,5,30,5308,4,15,5918,-0.59,4812,-0.93,5558,8.9,5149,14.86,3431,185,4331
S01000006,100,Aberdeen City,Aberdeen City - Culter,Peterculter,643,347,9.64,4812,9,55,4018,8,30,4030,-0.39,4280,-0.39,4239,13.49,3924,4.05,5577,140,4886
S01000007,100,Aberdeen City,Aberdeen City - Culter,Peterculter,809,426,4.03,6171,4,30,5564,4,15,5706,-0.43,4400,-1.27,6006,3.01,6261,6.07,5160,108,5355
S01000008,100,Aberdeen City,Aberdeen City - Culter,Peterculter,553,340,10.77,4548,8,45,4227,9,30,3978,-0.22,3779,-0.35,4135,15.75,3280,11.95,3950,178,4409
S01000009,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,660,414,8.09,5159,7,45,4496,5,20,5192,-0.61,4859,-0.47,4459,13.17,4013,19.58,2725,101,5425
S01000010,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,544,389,4.33,6092,3,20,5774,4,20,5750,-1.14,5907,-0.63,4898,9.86,4916,12.51,3855,161,4625
S01000011,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,1075,655,4.72,6002,1,10,6476,1,5,6494,-0.23,3808,-1.75,6384,3.76,6142,29.75,1623,61,5968
S01000012,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,1406,898,6.75,5491,3,45,5934,3,25,6255,-0.44,4421,-0.76,5196,5.5,5802,36.4,1201,209,4022
S01000013,100,Aberdeen City,Aberdeen City - Culter,Peterculter,794,495,10.16,4702,8,60,4303,6,25,5046,-0.2,3743,-0.68,5006,14.14,3715,29.05,1679,154,4719
S01000014,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,933,628,7.6,5274,3,30,5982,5,30,5522,-0.26,3921,-0.24,3835,12.4,4224,25.88,1987,82,5663
S01000015,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,677,509,3.83,6210,1,10,6401,3,15,6231,-0.52,4636,-0.58,4734,15.57,3330,10.87,4155,81,5677
S01000016,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,696,490,4.07,6162,1,5,6468,1,5,6495,-2.06,6487,-1.32,6065,8.39,5267,36.3,1207,140,4887
S01000017,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,840,573,9.67,4808,6,55,4715,6,35,4930,0.12,2881,-0.39,4249,10.89,4641,13.3,3721,245,3647
S01000018,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,499,339,9.22,4908,3,15,5979,8,25,4261,-0.19,3724,0.21,2686,14.04,3744,11.52,4031,108,5345
S01000019,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,693,345,5.07,5918,3,20,5908,3,10,6270,-0.47,4499,-1.75,6383,1.87,6401,31.25,1524,,6138
S01000020,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,1004,608,13.09,4026,10,105,3520,11,70,3141,-0.54,4684,-0.9,5500,9.32,5052,29.24,1662,85,5634
S01000021,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,846,561,13.29,3982,7,60,4414,9,50,3897,0.14,2818,0.06,3042,13.92,3788,20.55,2609,181,4369
S01000022,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,746,443,4.06,6167,1,10,6458,2,10,6449,-1.81,6439,-2.15,6483,0.96,6475,40.98,961,,5985
S01000023,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,829,507,4.72,6000,1,10,6406,1,5,6469,-1.56,6335,-1.94,6447,2.24,6367,47.05,723,68,5877
S01000024,100,Aberdeen City,Aberdeen City - Culter,Peterculter,525,329,6.35,5602,3,15,5886,1,0,6488,-0.92,5542,-1.62,6308,9.43,5031,54.63,530,,6196
S01000025,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,931,624,4.67,6010,2,25,6148,3,20,6195,-1.6,6355,-1.97,6454,0.94,6476,40.91,964,58,6000
S01000026,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,796,485,34.44,1260,19,150,1774,21,100,1248,1.16,579,0.94,1003,21.18,2081,14.16,3570,377,2537
S01000027,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,800,457,4.81,5980,3,20,6068,5,25,5539,-1.42,6232,-1.5,6248,4.29,6029,30.84,1549,84,5644
S01000028,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,851,529,25.31,2052,15,125,2558,15,80,2224,0.91,984,0.74,1420,21.05,2105,10.16,4282,258,3521
S01000029,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,1050,653,4.55,6042,1,10,6464,0,5,6499,-2.45,6502,-2.26,6496,3.77,6138,48.61,678,,6466
S01000030,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,479,277,21.91,2448,16,75,2296,15,40,2327,0.2,2669,0.22,2655,28,1268,13.66,3652,467,1972
S01000031,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,983,553,4.02,6174,3,25,6069,3,15,6245,-0.72,5135,-1.59,6292,4.04,6086,25.45,2027,50,6103
S01000032,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,959,554,21.07,2591,13,125,2883,12,65,3089,0.72,1360,0.49,2020,18.73,2552,13.61,3662,381,2510
S01000033,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,682,381,30.88,1519,20,135,1611,17,70,1860,1.1,665,0.62,1680,24.5,1643,4.3,5517,708,1002
S01000034,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,1247,833,3.79,6224,1,15,6421,1,5,6496,-1.52,6298,-1.28,6030,2.38,6343,33.88,1353,96,5504
S01000035,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,1032,660,18.63,2969,10,100,3717,9,65,3691,0.11,2905,0.87,1156,16.95,2972,15.63,3316,641,1233
S01000036,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,673,435,30.19,1585,16,110,2245,15,70,2211,0.79,1217,1.21,552,18.23,2670,24.15,2172,465,1986
S01000037,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,702,428,22.44,2382,12,85,3059,12,50,2934,0.44,2035,0.45,2112,21.33,2047,17.91,2958,1234,279
S01000038,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,771,502,16.76,3264,10,80,3554,10,50,3414,0.27,2465,0.3,2461,19.67,2361,12.07,3931,440,2131
S01000039,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,870,566,21.42,2536,11,95,3315,11,65,3155,0.58,1678,0.46,2103,23.78,1708,37.26,1154,267,3429
S01000040,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,871,525,19.05,2909,10,90,3490,13,65,2849,0.54,1758,0.47,2086,21.34,2045,2.58,5930,529,1688
S01000041,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,763,425,13.58,3925,9,70,3834,10,45,3627,0.23,2592,-0.16,3588,6.53,5624,12.33,3883,239,3712
S01000042,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,788,555,22.01,2431,11,85,3436,14,75,2465,0.78,1234,0.77,1360,16.2,3161,5.47,5270,366,2612
S01000043,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,770,520,14.98,3619,12,95,3098,7,35,4628,0.47,1958,-0.21,3750,18.28,2651,6.16,5143,600,1379
S01000044,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,838,509,33.07,1350,21,180,1407,16,85,2031,1.25,486,0.8,1284,25.05,1582,9.59,4401,626,1281
S01000045,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,575,339,4.37,6084,2,10,6347,2,5,6436,-0.88,5471,-1.37,6115,4.82,5936,34.11,1343,94,5518
S01000046,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,746,404,4.08,6159,1,10,6402,1,5,6454,-0.89,5492,-1.88,6436,1.7,6414,32.9,1420,132,5019
S01000047,100,Aberdeen City,Aberdeen City - Ferryhill South,Aberdeen,749,515,15.5,3501,11,80,3430,9,50,3768,0.15,2808,0.22,2667,29.56,1152,10.79,4177,312,3054
S01000048,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,914,605,3.76,6233,1,10,6455,2,10,6404,-0.99,5679,-1.63,6317,6.59,5608,28.08,1754,156,4691
S01000049,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,723,408,4.42,6066,3,25,5849,2,10,6408,-0.3,4056,-1.59,6293,3.93,6105,22.19,2406,,6487
S01000050,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",Aberdeen,685,387,5.75,5744,5,30,5342,4,15,5633,-0.26,3935,-1.2,5933,5.95,5723,12.46,3863,220,3905
S01000051,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",Aberdeen,807,420,3.71,6245,2,15,6375,2,10,6369,-0.97,5634,-1.51,6253,3.3,6210,28.14,1750,98,5469
S01000052,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,591,379,44.53,700,28,165,686,21,80,1272,1.58,217,1.12,687,26.14,1457,15.06,3404,590,1429
S01000053,100,Aberdeen City,Aberdeen City - Ferryhill South,Aberdeen,1055,667,8.83,4991,7,75,4476,4,25,5902,0.36,2250,-0.8,5286,12.33,4248,12.84,3794,210,4011
S01000054,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,785,402,4.4,6071,3,25,5962,1,5,6479,-0.09,3472,-1.6,6297,3.86,6122,17.79,2984,68,5864
S01000055,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,792,468,37.07,1103,24,190,1047,20,95,1396,1.12,644,0.91,1058,23.07,1794,5.13,5342,827,742
S01000056,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Aberdeen,1068,656,6.2,5629,2,25,6247,4,25,5987,-0.93,5563,-1.52,6260,4.67,5969,45.42,772,206,4058
S01000057,100,Aberdeen City,Aberdeen City - Torry East,Aberdeen,677,421,42.68,784,27,180,803,22,90,1197,0.78,1223,1.42,325,30.43,1079,9.65,4392,1313,240
S01000058,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",Aberdeen,705,459,3.99,6181,2,15,6213,3,10,6210,-0.73,5151,-1.39,6145,2.99,6266,22.34,2385,175,4450
S01000059,100,Aberdeen City,Aberdeen City - Ferryhill South,Aberdeen,884,610,4.15,6141,1,10,6424,3,15,6267,-1.06,5783,-1.72,6371,4.71,5960,26.31,1940,330,2900
S01000060,100,Aberdeen City,Aberdeen City - Torry East,Aberdeen,572,340,60.47,221,33,185,340,32,110,269,1.37,357,1.47,284,24.09,1676,20.45,2618,1344,226
S01000061,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",Aberdeen,1012,578,3.71,6244,2,15,6358,2,10,6385,-1.11,5862,-1.6,6303,2.93,6273,27.72,1799,168,4544
S01000062,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",Aberdeen,948,726,4,6179,3,35,5778,3,20,6146,-1.06,5772,-1.34,6086,23.03,1799,11.43,4048,276,3356
S01000063,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",Aberdeen,901,539,3.13,6340,2,20,6263,2,10,6317,-0.74,5163,-1.45,6202,9.11,5102,15.67,3309,143,4860
S01000064,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,607,415,11.73,4322,9,55,3863,8,35,4162,-0.35,4184,-0.24,3834,21.3,2057,3.28,5752,607,1352
S01000065,100,Aberdeen City,Aberdeen City - Ferryhill South,Aberdeen,886,629,11.09,4475,7,60,4483,9,55,3893,-0.19,3704,-0.35,4151,21.12,2087,10.99,4130,304,3117
S01000066,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,817,632,26.1,1971,10,80,3727,15,95,2352,0.98,860,0.62,1681,41.73,553,2.38,5975,2205,57
S01000067,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",Aberdeen,985,572,5.21,5885,4,45,5369,5,30,5401,-0.2,3732,-1.4,6157,8.17,5301,6.76,5017,116,5220
S01000068,100,Aberdeen City,Aberdeen City - Ferryhill South,Aberdeen,861,505,4.98,5945,4,35,5624,2,10,6324,-0.24,3866,-1.47,6225,10.68,4702,18.14,2920,138,4933
S01000069,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,686,439,33.99,1290,21,140,1495,19,85,1647,1.01,801,0.94,1014,32.46,940,4.81,5415,945,539
S01000070,100,Aberdeen City,Aberdeen City - Torry East,Aberdeen,645,386,25.27,2059,18,115,1920,16,65,2075,0.25,2535,0.54,1895,23.07,1795,10.74,4188,718,977
S01000071,100,Aberdeen City,Aberdeen City - Torry East,Aberdeen,762,509,37.43,1079,23,175,1223,20,100,1404,1.34,387,0.86,1183,28.51,1221,9.9,4340,703,1022
S01000072,100,Aberdeen City,Aberdeen City - Hazlehead,Aberdeen,856,480,15.03,3608,8,70,4053,8,40,4037,0.06,3033,-0.61,4806,10.34,4797,45.8,761,440,2133
S01000073,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",Aberdeen,593,353,2.77,6394,4,20,5752,3,10,6042,-0.92,5538,-1.51,6251,2.95,6272,8.92,4539,,5806
S01000074,100,Aberdeen City,Aberdeen City - Torry East,Aberdeen,867,521,48.04,571,25,215,1003,25,130,789,1.5,267,1.35,393,28.96,1199,28.24,1739,723,964
S01000075,100,Aberdeen City,Aberdeen City - Ferryhill North,Aberdeen,517,365,6.61,5526,4,25,5375,5,20,5512,-0.95,5606,-0.38,4222,19.93,2310,4.18,5547,596,1399
S01000076,100,Aberdeen City,Aberdeen City - Hazlehead,Aberdeen,764,406,3.97,6182,2,15,6353,2,10,6355,-1.53,6305,-1.83,6417,1.69,6418,35.69,1243,101,5434
S01000077,100,Aberdeen City,Aberdeen City - West End South,Aberdeen,917,609,4.29,6103,3,25,6106,5,30,5469,-0.74,5173,-1.9,6440,10.56,4738,16.36,3191,176,4427
S01000078,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,871,696,27.53,1818,14,120,2782,17,115,1964,1.2,530,0.16,2812,49.57,348,0.36,6447,1104,369
S01000079,100,Aberdeen City,Aberdeen City - Ferryhill North,Aberdeen,1263,1015,3.9,6197,2,20,6399,2,20,6444,-0.57,4771,-1.19,5930,19.24,2448,15.25,3369,252,3572
S01000080,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",Aberdeen,775,573,6.57,5541,6,45,4887,4,20,5874,-0.29,4008,-0.87,5441,27.54,1314,3.33,5735,368,2604
S01000081,100,Aberdeen City,Aberdeen City - West End South,Aberdeen,938,584,2.56,6424,1,15,6418,2,10,6392,-0.98,5645,-1.64,6325,5.3,5843,14.49,3504,201,4129
S01000082,100,Aberdeen City,Aberdeen City - Torry East,Aberdeen,947,607,37.63,1063,21,195,1460,16,95,2138,1.39,340,1.11,696,25.75,1504,21.47,2495,1057,409
S01000083,100,Aberdeen City,Aberdeen City - West End South,Aberdeen,782,529,2.41,6441,1,10,6431,3,15,6209,-0.83,5358,-1.47,6221,16.78,3021,6.8,5003,166,4572
S01000084,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,739,581,37.24,1095,15,115,2401,20,120,1420,1.5,263,1.09,726,39.11,638,3.44,5720,1635,131
