Data Zone,Local Authority Code,Health domain 2012 rank,Health domain 2012 score1,"Standardised mortality ratio (ISD, 2007-2010) ","Comparative illness factor: standardised ratio (DWP, 2011)2","Hospital stays related to alcohol misuse: standardised ratio
(ISD, 2007-2010)","Hospital stays related to drug misuse: standardised ratio 
(ISD, 2007-2010)","Emergency stays in hospital: standardised ratio 
(ISD, 2007-2010)","Estimated proportion of population being prescribed drugs for anxiety, depression or psychosis 
(ISD, 2010)","Proportion of live singleton births of low birth weight
(ISD, 2006-2009)",,Notes
S01000001,100,"3,490",-0.10,41,65,169,171,95,0.07,0.05,,"1.  The health domain score is calculated by ranking the indicators, transforming them to a standard normal distribution and combining them using weights generated by factor analysis. Metadata for each indicator included in the health domain can be found in the SIMD technical notes. "
S01000002,100,"5,554",-0.93,12,25,52,25,77,0.1,0,,
S01000003,100,"5,267",-0.78,85,25,78,0,71,0.1,0.03,,
S01000004,100,"5,942",-1.17,32,20,29,228,62,0.1,0.06,,"2.  The Comparative Illness Factor is based on benefits data, counting people claiming Disability Living Allowance (DLA); Employment and Support Allowance (ESA) (not also receiving DLA); Attendance Allowance (AA); Incapacity Benefit (IB) (not also receiving DLA); and Severe Disablement Allowance (SDA). The counts were indirectly age sex standardised and are expressed relative to Scotland which has a value  of 100.  "
S01000005,100,"4,812",-0.59,75,35,61,63,80,0.07,0,,
S01000006,100,"4,280",-0.39,109,70,57,0,85,0.07,0,,
S01000007,100,"4,400",-0.43,52,65,105,79,78,0.07,0.09,,
S01000008,100,"3,779",-0.22,90,45,52,158,93,0.07,0.12,,
S01000009,100,"4,859",-0.61,91,50,13,38,79,0.1,0.1,,
S01000010,100,"5,907",-1.14,33,30,20,0,70,0.1,0,,
S01000011,100,"3,808",-0.23,130,25,96,261,90,0.07,0,,
S01000012,100,"4,421",-0.44,75,65,33,29,83,0.1,0.05,,
S01000013,100,"3,743",-0.20,92,55,31,447,93,0.07,0.04,,
S01000014,100,"3,921",-0.26,80,65,61,244,82,0.1,0.02,,
S01000015,100,"4,636",-0.52,83,25,28,0,91,0.1,0.21,,
S01000016,100,"6,487",-2.06,80,10,15,0,40,0.07,0,,
S01000017,100,"2,881",0.12,91,75,68,127,107,0.1,0.03,,
S01000018,100,"3,724",-0.19,109,40,59,0,99,0.1,0.07,,
S01000019,100,"4,499",-0.47,60,60,83,46,78,0.07,0.11,,
S01000020,100,"4,684",-0.54,125,135,19,0,72,0.07,0.07,,
S01000021,100,"2,818",0.14,88,80,38,135,114,0.1,0.06,,
S01000022,100,"6,439",-1.81,66,10,20,137,45,0.07,0,,
S01000023,100,"6,335",-1.56,79,30,8,0,55,0.07,0,,
S01000024,100,"5,542",-0.92,44,10,32,145,79,0.07,0.07,,
S01000025,100,"6,355",-1.60,49,35,16,0,53,0.07,0,,
S01000026,100,579,1.16,140,135,293,346,145,0.1,0.14,,
S01000027,100,"6,232",-1.42,62,40,19,0,54,0.07,0.1,,
S01000028,100,984,0.91,102,125,164,874,138,0.1,0.03,,
S01000029,100,"6,502",-2.45,41,5,3,0,38,0.07,0,,
S01000030,100,"2,669",0.20,87,55,76,367,115,0.1,0,,
S01000031,100,"5,135",-0.72,60,55,47,0,75,0.07,0.08,,
S01000032,100,"1,360",0.72,136,125,150,95,129,0.1,0.05,,
S01000033,100,665,1.10,124,110,269,541,150,0.1,0.02,,
S01000034,100,"6,298",-1.52,47,20,48,0,54,0.07,0.02,,
S01000035,100,"2,905",0.11,54,100,98,243,100,0.1,0.07,,
S01000036,100,"1,217",0.79,111,100,294,132,130,0.1,0.09,,
S01000037,100,"2,035",0.44,139,100,121,382,102,0.1,0.15,,
S01000038,100,"2,465",0.27,102,95,128,64,106,0.1,0.07,,
S01000039,100,"1,678",0.58,110,110,140,113,123,0.1,0.1,,
S01000040,100,"1,758",0.54,120,100,145,301,115,0.1,0.09,,
S01000041,100,"2,592",0.23,79,105,101,148,108,0.1,0,,
S01000042,100,"1,234",0.78,130,105,128,235,135,0.1,0.13,,
S01000043,100,"1,958",0.47,110,80,165,92,122,0.09,0.04,,
S01000044,100,486,1.25,128,130,215,415,164,0.1,0.05,,
S01000045,100,"5,471",-0.88,50,15,37,0,81,0.09,0.09,,
S01000046,100,"5,492",-0.89,51,30,16,0,79,0.09,0.13,,
S01000047,100,"2,808",0.15,93,85,132,141,96,0.09,0.12,,
S01000048,100,"5,679",-0.99,90,40,42,0,62,0.09,0.03,,
S01000049,100,"4,056",-0.30,117,40,38,0,95,0.09,0.09,,
S01000050,100,"3,935",-0.26,119,70,49,0,90,0.09,0,,
S01000051,100,"5,634",-0.97,45,50,35,0,68,0.09,0.04,,
S01000052,100,217,1.58,165,115,275,259,190,0.1,0.12,,
S01000053,100,"2,250",0.36,158,100,106,69,106,0.1,0.05,,
S01000054,100,"3,472",-0.09,103,60,53,37,100,0.09,0.03,,
S01000055,100,644,1.12,173,135,274,479,133,0.11,0.13,,
S01000056,100,"5,563",-0.93,64,50,68,153,59,0.07,0.04,,
S01000057,100,"1,223",0.78,101,100,181,540,133,0.1,0.06,,
S01000058,100,"5,151",-0.73,76,20,52,110,74,0.09,0.05,,
S01000059,100,"5,783",-1.06,71,30,32,0,66,0.08,0.04,,
S01000060,100,357,1.37,95,95,482,1653,159,0.1,0.07,,
S01000061,100,"5,862",-1.11,51,50,3,55,68,0.09,0.09,,
S01000062,100,"5,772",-1.06,53,30,32,76,64,0.09,0.02,,
S01000063,100,"5,163",-0.74,70,35,24,0,82,0.09,0.02,,
S01000064,100,"4,184",-0.35,71,60,61,103,81,0.1,0.06,,
S01000065,100,"3,704",-0.19,83,50,142,176,82,0.09,0.09,,
S01000066,100,860,0.98,117,90,253,1219,138,0.1,0.02,,
S01000067,100,"3,732",-0.20,74,95,47,64,90,0.09,0.02,,
S01000068,100,"3,866",-0.24,88,65,106,54,85,0.08,0,,
S01000069,100,801,1.01,157,105,259,564,137,0.1,0.03,,
S01000070,100,"2,535",0.25,75,75,161,325,105,0.1,0.03,,
S01000071,100,387,1.34,145,100,376,231,167,0.1,0.1,,
S01000072,100,"3,033",0.06,112,80,48,163,100,0.09,0.08,,
S01000073,100,"5,538",-0.92,77,30,37,47,67,0.09,0,,
S01000074,100,267,1.50,119,135,462,988,166,0.1,0.05,,
S01000075,100,"5,606",-0.95,61,30,42,60,65,0.09,0.07,,
S01000076,100,"6,305",-1.53,46,30,4,0,60,0.09,0.04,,
S01000077,100,"5,173",-0.74,52,40,108,104,66,0.09,0.05,,
S01000078,100,530,1.20,146,90,421,574,148,0.1,0.09,,
S01000079,100,"4,771",-0.57,131,40,70,22,71,0.08,0.05,,
S01000080,100,"4,008",-0.29,112,35,116,34,82,0.09,0.13,,
S01000081,100,"5,645",-0.98,91,40,23,0,66,0.09,0.03,,
S01000082,100,340,1.39,148,155,248,497,165,0.1,0.03,,
S01000083,100,"5,358",-0.83,78,25,75,22,68,0.09,0.07,,
S01000084,100,263,1.50,158,105,377,726,171,0.1,0.1,,
S01000085,100,"2,872",0.12,122,30,190,110,103,0.09,0.1,,
S01000086,100,"4,858",-0.61,159,30,82,20,69,0.08,0.06,,
S01000087,100,"5,381",-0.84,55,45,25,61,71,0.09,0.02,,
S01000088,100,"5,161",-0.74,51,30,128,63,68,0.09,0.1,,
S01000089,100,"5,977",-1.19,113,55,6,0,60,0.09,0,,
S01000090,100,"5,290",-0.79,90,15,73,19,74,0.09,0,,
S01000091,100,"2,497",0.26,125,85,162,140,98,0.09,0.06,,
S01000092,100,"5,470",-0.88,70,30,37,14,69,0.09,0.09,,
S01000093,100,"3,823",-0.23,99,35,103,220,84,0.09,0.08,,
S01000094,100,"5,419",-0.86,67,25,31,18,73,0.09,0.11,,
S01000095,100,"6,117",-1.29,61,25,39,17,55,0.09,0.1,,
S01000096,100,"1,305",0.74,93,115,256,273,127,0.1,0.04,,
S01000097,100,"5,754",-1.04,117,30,29,18,61,0.09,0,,
